filename,product_name,description
Y2Slay-topaz-enhance-4x_98b897c9-a1f6-4e3f-947c-e65205c4ca0e.jpg,OPI Nail Lacquer,F018 Y2Slay - 0.5oz by OPI
CosMICDrop15ml_NLF019.jpg,OPI Nail Lacquer,F019 CosMIC Drop - 0.5oz by OPI
CosMICDrop-topaz-enhance-4x_31f33233-b113-4427-bbaa-114cf1debf6f.jpg,OPI Nail Lacquer,F019 CosMIC Drop - 0.5oz by OPI
LiquidFire15ml_NLF020.jpg,OPI Nail Lacquer,F020 Liquid Fire - 0.5oz by OPI
LiquidFire-topaz-enhance-4x_50b7de56-02ef-4d3a-a64d-f0f4a4b7e1f7.jpg,OPI Nail Lacquer,F020 Liquid Fire - 0.5oz by OPI
MilleniumMocha15ml_NLF021.jpg,OPI Nail Lacquer,F021 Millenium Mocha - 0.5oz by OPI
MillenniumMocha-topaz-enhance-4x_5a45ce0f-07a8-4372-8617-ccdcc1100a1d.jpg,OPI Nail Lacquer,F021 Millenium Mocha - 0.5oz by OPI
MetallicRewind15ml_NLF022.jpg,OPI Nail Lacquer,F022 Metallic Rewind - 0.5oz by OPI
MetallicRewind-topaz-enhance-4x_5eb2ae72-c63f-45ac-9467-0b0750ea8b27.jpg,OPI Nail Lacquer,F022 Metallic Rewind - 0.5oz by OPI
SaTURNMeOn15ml_NLF023.jpg,OPI Nail Lacquer,F023 SaTURN Me On - 0.5oz by OPI
SaTURNMeOn-topaz-enhance-4x_8a348714-0cb7-4a27-b301-ea3e5d05abc4.jpg,OPI Nail Lacquer,F023 SaTURN Me On - 0.5oz by OPI
ChromeClawz15ml_NLF024.jpg,OPI Nail Lacquer,F024 Chrome Clawz - 0.5oz by OPI
ChromeClawz-topaz-enhance-4x_d0c5e3a0-8759-4708-bad4-5b6c3b80f243.jpg,OPI Nail Lacquer,F024 Chrome Clawz - 0.5oz by OPI
NLS027.jpg,OPI Nail Lacquer,NLS27 Pricele$ - 0.5oz by OPI
GCS027_1_3984e65d-1efe-4a95-9317-72948bfd8eba.jpg,OPI Nail Lacquer,NLS27 Pricele$ - 0.5oz by OPI
NLS029.jpg,OPI Nail Lacquer,NLS29 Lookin' Cute-icle - 0.5oz by OPI
GCS029_1_0d2b75d1-2f16-4a84-8a5c-14d5cdf80170.jpg,OPI Nail Lacquer,NLS29 Lookin' Cute-icle - 0.5oz by OPI
NLS031.jpg,OPI Nail Lacquer,NLS31 Feelin' Fire - 0.5oz by OPI
GCS031_1_17f65b9f-e70b-49c4-985e-11745456eec8.jpg,OPI Nail Lacquer,NLS31 Feelin' Fire - 0.5oz by OPI
NLS034.jpg,OPI Nail Lacquer,NLS34 (Bee)FFR - 0.5oz by OPI
GCS034_1_d5491da3-277b-44a2-a462-b2886277c309.jpg,OPI Nail Lacquer,NLS34 (Bee)FFR - 0.5oz by OPI
NLS035.jpg,OPI Nail Lacquer,NLS35 Midnight Snacc - 0.5oz by OPI
GCS035_1_78f0effd-0bf1-4da7-adcf-fbf782a53806.jpg,OPI Nail Lacquer,NLS35 Midnight Snacc - 0.5oz by OPI
B10BeeUnapologeticNL.jpg,OPI Nail Lacquer,B010 Bee Unapologetic - 0.5oz by OPI
N60-opi-gel-nail-polish-names-pictures.jpg,OPI Nail Lacquer,N60 I'm Sooo Swamped! - 0.5oz by OPI
N58-gelcolor-opi-gel-nail-polish-colors-pictures_01b2553d-a91a-42fe-a138-a00976712f47.jpg,OPI Nail Lacquer,N58 Crawfishin' for a Compliment - 0.5oz by OPI
86_028e1040-b1c0-4aa8-bb5f-d61635b9547d.jpg,OPI Nail Lacquer,N86 Pear-Adise Cove - 0.5oz by OPI
N83PCHLoveSong_f9060077-13f9-47d6-b8a0-ab46cc96958e.jpg,OPI Nail Lacquer,N83 PCH Love Song - 0.5oz by OPI
I62-opi-red-gel-pictures_a2876b61-5d16-4e4d-852c-68faa9de0975.jpg,OPI Nail Lacquer,I62 One Heckla of a Color! - 0.5oz by OPI
F91-opi-soak-off-gel-polish-colors-pictures.jpg,OPI Nail Lacquer,F91 Exotic Birds Do Not Tweet - 0.5oz by OPI
B86-opi-gel-polish-set-pictures_e90b22dc-6f3a-485c-bdae-071da0c5fd41.jpg,OPI Nail Lacquer,B86 Shorts Story - 0.5oz by OPI
HeartandCon-soul.jpg,OPI Nail Lacquer,D55 Heart and Con-soul - 0.5oz by OPI
